Entity,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Underreporting,Authoritarian,Continent
Montenegro,,40.7,45,8703.93,3.627117317,1.3794,31.9,,1,Europe
Vatican,,,1820,,,0.1164,,,,Europe
Malta,,41.8,1397,30650.17,3.889380342,1.5246,29.4,,,Europe
Kosovo,,,,4442.36,,1.5511,,,,Europe
Costa Rica,,31.3,100,12014.8,3.481751984,1.17823,48.7,,,North America
Antigua and Barbuda,,,222,18109.1,,0.4293,,,,North America
Bahamas,,,28,33261.32,,0.8038,,,,North America
Barbados,,,668,18069.38,,1.6401,,,,North America
Bermuda,,,1153,,,0.8925,,,,North America
Cayman Islands,,,249,,,0.5714,,,,North America
Cuba,,,103,,,0.69708,,,1,North America
Dominica,,,96,8380.98,,1.5447,,,,North America
El Salvador,,27.1,308,4008.02,3.125414803,0.3558,40,,,North America
Faroe Islands,,,35,,,0.33769,,,,North America
Greda,,,327,11381.38,,,,,,North America
Guatemala,,,165,4616.85,,0.17311,,,,North America
Haiti,,,411,784.08,2.648886654,,,,,North America
Honduras,,23,88,2548.46,3.432064003,0.629,50,,,North America
Jamaica,,152,269,5460.98,3.204617537,0.54425,45.5,,,North America
Montserrat,,,49,,,,,,,North America
Bolivia,,24.3,11,3670.96,3.185075937,0.6523,45.8,,,South America
Guya,,,4,5252.05,3.426269634,,,,,South America
Nicaragua,,,51,1919.17,2.800580399,,,,,South America
Paraguay,,28.2,18,5692.18,2.933365933,0.7552,47.9,,,South America
Surime,,,4,6310.95,,0.8318,,,,South America
Uruguay,,,19,17029.25,3.787633754,1.55014,,,,South America
Venezuela,,28.3,31,2547.76,1.405870664,0.5224,50.3,,1,South America
